  3%|▎         | 4/158 [00:11<05:43,  2.23s/it]@ 12.0s epoch 1 step 1 acc tensor(0.3379, device='cuda:0') loss 0.0069810950756073
 12%|█▏        | 19/158 [00:21<02:42,  1.17s/it]@ 21.0s epoch 1 step 21 acc tensor(0.6396, device='cuda:0') loss 0.13695002615451812
 27%|██▋       | 43/158 [00:32<00:44,  2.60it/s]@ 32.0s epoch 1 step 41 acc tensor(0.6475, device='cuda:0') loss 0.13070289254188538
 41%|████      | 64/158 [00:43<00:20,  4.57it/s]@ 44.0s epoch 1 step 61 acc tensor(0.6172, device='cuda:0') loss 0.13109687030315398
 53%|█████▎    | 84/158 [01:03<01:01,  1.21it/s]@ 63.0s epoch 1 step 81 acc tensor(0.6377, device='cuda:0') loss 0.13082157969474792
 66%|██████▋   | 105/158 [01:13<00:24,  2.18it/s]@ 74.0s epoch 1 step 101 acc tensor(0.6367, device='cuda:0') loss 0.1300279116630554
 77%|███████▋  | 121/158 [01:23<00:15,  2.35it/s]@ 84.0s epoch 1 step 121 acc tensor(0.6484, device='cuda:0') loss 0.12941289067268372
 91%|█████████ | 143/158 [01:34<00:03,  4.34it/s]@ 95.0s epoch 1 step 141 acc tensor(0.6475, device='cuda:0') loss 0.1275927621126175
100%|██████████| 158/158 [01:44<00:00,  1.51it/s]
  1%|          | 1/158 [00:10<27:45, 10.61s/it]@ 115.0s epoch 2 step 1 acc tensor(0.6396, device='cuda:0') loss 0.0060905909538269045
 16%|█▌        | 25/158 [00:22<01:02,  2.14it/s]@ 126.0s epoch 2 step 21 acc tensor(0.6650, device='cuda:0') loss 0.12252893149852753
 29%|██▉       | 46/158 [00:32<00:33,  3.36it/s]@ 137.0s epoch 2 step 41 acc tensor(0.6816, device='cuda:0') loss 0.11746084034442901
 39%|███▉      | 62/158 [00:42<00:29,  3.28it/s]@ 147.0s epoch 2 step 61 acc tensor(0.7266, device='cuda:0') loss 0.10999383807182311
 51%|█████▏    | 81/158 [01:00<01:11,  1.08it/s]@ 165.0s epoch 2 step 81 acc tensor(0.7559, device='cuda:0') loss 0.10580348312854766
 66%|██████▋   | 105/158 [01:13<00:26,  2.00it/s]@ 178.0s epoch 2 step 101 acc tensor(0.7812, device='cuda:0') loss 0.10175903171300887
 79%|███████▉  | 125/158 [01:23<00:10,  3.16it/s]@ 188.0s epoch 2 step 121 acc tensor(0.7832, device='cuda:0') loss 0.09782862693071365
 91%|█████████ | 143/158 [01:33<00:04,  3.50it/s]@ 198.0s epoch 2 step 141 acc tensor(0.7539, device='cuda:0') loss 0.09867888420820237
100%|██████████| 158/158 [01:44<00:00,  1.52it/s]
  1%|          | 1/158 [00:10<28:29, 10.89s/it]@ 219.0s epoch 3 step 1 acc tensor(0.7998, device='cuda:0') loss 0.0046987983584403994
 15%|█▌        | 24/158 [00:22<01:17,  1.72it/s]@ 231.0s epoch 3 step 21 acc tensor(0.7881, device='cuda:0') loss 0.09255876868963242
 28%|██▊       | 44/158 [00:33<00:40,  2.82it/s]@ 242.0s epoch 3 step 41 acc tensor(0.8066, device='cuda:0') loss 0.0897811183333397
 40%|███▉      | 63/158 [00:43<00:22,  4.15it/s]@ 252.0s epoch 3 step 61 acc tensor(0.7842, device='cuda:0') loss 0.090891872048378
 51%|█████     | 80/158 [00:53<00:17,  4.39it/s]@ 270.0s epoch 3 step 81 acc tensor(0.8184, device='cuda:0') loss 0.08702877640724183
 66%|██████▌   | 104/158 [01:13<00:26,  2.04it/s]@ 282.0s epoch 3 step 101 acc tensor(0.7998, device='cuda:0') loss 0.0861026868224144
 79%|███████▉  | 125/158 [01:24<00:10,  3.15it/s]@ 293.0s epoch 3 step 121 acc tensor(0.8369, device='cuda:0') loss 0.08501442074775696
 91%|█████████ | 143/158 [01:35<00:04,  3.22it/s]@ 304.0s epoch 3 step 141 acc tensor(0.8066, device='cuda:0') loss 0.08602663934230804
100%|██████████| 158/158 [01:43<00:00,  1.53it/s]
  2%|▏         | 3/158 [00:10<07:16,  2.81s/it]@ 323.0s epoch 4 step 1 acc tensor(0.8262, device='cuda:0') loss 0.00408490926027298
 14%|█▍        | 22/158 [00:21<01:33,  1.46it/s]@ 333.0s epoch 4 step 21 acc tensor(0.8311, device='cuda:0') loss 0.08091278076171875
 28%|██▊       | 45/158 [00:32<00:38,  2.94it/s]@ 344.0s epoch 4 step 41 acc tensor(0.8105, device='cuda:0') loss 0.08134936720132828
 41%|████      | 64/158 [00:44<00:25,  3.73it/s]@ 356.0s epoch 4 step 61 acc tensor(0.8037, device='cuda:0') loss 0.08140323549509049
 51%|█████▏    | 81/158 [01:02<01:23,  1.08s/it]@ 375.0s epoch 4 step 81 acc tensor(0.8574, device='cuda:0') loss 0.0804846927523613
 65%|██████▌   | 103/158 [01:15<00:38,  1.43it/s]@ 387.0s epoch 4 step 101 acc tensor(0.8271, device='cuda:0') loss 0.07826640844345092
 78%|███████▊  | 123/158 [01:25<00:16,  2.18it/s]@ 398.0s epoch 4 step 121 acc tensor(0.8262, device='cuda:0') loss 0.07828810065984726
 90%|████████▉ | 142/158 [01:35<00:04,  3.80it/s]@ 407.0s epoch 4 step 141 acc tensor(0.8457, device='cuda:0') loss 0.07648803472518921
100%|██████████| 158/158 [01:45<00:00,  1.50it/s]
  3%|▎         | 4/158 [00:10<05:08,  2.00s/it]@ 427.0s epoch 5 step 1 acc tensor(0.8574, device='cuda:0') loss 0.003583444356918335
 16%|█▌        | 25/158 [00:20<01:17,  1.72it/s]@ 438.0s epoch 5 step 21 acc tensor(0.8467, device='cuda:0') loss 0.0750485622882843
 26%|██▌       | 41/158 [00:30<00:53,  2.19it/s]@ 448.0s epoch 5 step 41 acc tensor(0.8682, device='cuda:0') loss 0.07526470303535461
 39%|███▉      | 62/158 [00:42<00:32,  2.99it/s]@ 459.0s epoch 5 step 61 acc tensor(0.8564, device='cuda:0') loss 0.0752471286058426
 53%|█████▎    | 84/158 [01:00<00:53,  1.38it/s]@ 477.0s epoch 5 step 81 acc tensor(0.8555, device='cuda:0') loss 0.07420624881982803
 64%|██████▍   | 101/158 [01:09<00:40,  1.40it/s]@ 487.0s epoch 5 step 101 acc tensor(0.8525, device='cuda:0') loss 0.07331140220165253
 76%|███████▌  | 120/158 [01:21<00:22,  1.69it/s]@ 499.0s epoch 5 step 121 acc tensor(0.8555, device='cuda:0') loss 0.07417230725288392
 91%|█████████ | 143/158 [01:33<00:04,  3.52it/s]@ 510.0s epoch 5 step 141 acc tensor(0.8506, device='cuda:0') loss 0.07257328093051911
100%|██████████| 158/158 [01:41<00:00,  1.56it/s]
  2%|▏         | 3/158 [00:10<07:22,  2.85s/it]@ 529.0s epoch 6 step 1 acc tensor(0.8369, device='cuda:0') loss 0.003647235631942749
 16%|█▌        | 25/158 [00:23<01:24,  1.58it/s]@ 542.0s epoch 6 step 21 acc tensor(0.8457, device='cuda:0') loss 0.07153397172689438
 28%|██▊       | 44/158 [00:34<00:43,  2.60it/s]@ 553.0s epoch 6 step 41 acc tensor(0.8604, device='cuda:0') loss 0.06914520382881165
 39%|███▉      | 62/158 [00:45<00:29,  3.30it/s]@ 563.0s epoch 6 step 61 acc tensor(0.8467, device='cuda:0') loss 0.07021533161401748
 51%|█████▏    | 81/158 [01:02<01:19,  1.04s/it]@ 581.0s epoch 6 step 81 acc tensor(0.8506, device='cuda:0') loss 0.07145471334457397
 66%|██████▌   | 104/158 [01:14<00:33,  1.60it/s]@ 593.0s epoch 6 step 101 acc tensor(0.8584, device='cuda:0') loss 0.0711315232515335
 78%|███████▊  | 124/158 [01:24<00:11,  2.93it/s]@ 603.0s epoch 6 step 121 acc tensor(0.8477, device='cuda:0') loss 0.06726040363311768
 90%|████████▉ | 142/158 [01:33<00:03,  4.07it/s]@ 612.0s epoch 6 step 141 acc tensor(0.8652, device='cuda:0') loss 0.06844899594783783
100%|██████████| 158/158 [01:43<00:00,  1.53it/s]
